List of Canadian Companies on U.S. Exchanges

Symbol	Name	U.S. Exchange	Cross-list symbol	Cross-list exchange	GICS Sector	Industry	Market cap	Average Volume	Action
CM	Canadian Imperial Bank Of Commerce	New York Stock Exchange	CT:CM	Toronto Stock Exchange	Financials	Banks—Diversified	$38,589,104,651	279,720	Analyze
MFC	Manulife Financial Corporation	New York Stock Exchange	CT:MFC	Toronto Stock Exchange	Financials	Insurance—Life	$35,894,599,618	2,481,705	Analyze
NTR	Nutrien Ltd.	New York Stock Exchange	CT:NTR	Toronto Stock Exchange	Materials	Agricultural Inputs	$28,884,273,000	1,828,666	Analyze
CNQ	Canadian Natural Resources Limited	New York Stock Exchange	CT:CNQ	Toronto Stock Exchange	Energy	Oil & Gas E&P	$27,962,921,770	3,948,455	Analyze
SLF	Sun Life Financial Inc.	New York Stock Exchange	CT:SLF	Toronto Stock Exchange	Financials	Insurance—Diversified	$27,942,853,889	452,917	Analyze
TU	Telus Corporation	New York Stock Exchange	CT:T	Toronto Stock Exchange	Communication Services	Telecom Services	$26,938,449,907	1,175,746	Analyze
WCN	Waste Connections Inc	New York Stock Exchange	CT:WCN	Toronto Stock Exchange	Industrials	Waste Management	$26,263,627,483	1,081,369	Analyze
SU	Suncor Energy  Inc.	New York Stock Exchange	CT:SU	Toronto Stock Exchange	Energy	Oil & Gas Integrated	$25,698,790,879	8,471,028	Analyze
FNV	Franco-Nevada Corporation	New York Stock Exchange	CT:FNV	Toronto Stock Exchange	Materials	Gold	$23,121,010,114	578,656	Analyze
MGA	Magna International	New York Stock Exchange	CT:MG	Toronto Stock Exchange	Consumer Discretionary	Auto Parts	$22,035,192,033	1,638,164	Analyze
FTS	Fortis Inc.	New York Stock Exchange	CT:FTS	Toronto Stock Exchange	Utilities	Utilities—Regulated Electric	$19,044,231,994	379,760	Analyze
QSR	Restaurant Brands International Inc.	New York Stock Exchange	CT:QSR	Toronto Stock Exchange	Consumer Discretionary	Restaurants	$18,493,898,062	1,639,913	Analyze
WPM	Wheaton Precious Metals Corp.	New York Stock Exchange	CT:WPM	Toronto Stock Exchange	Materials	Gold	$18,481,729,161	3,175,129	Analyze
GIB	CGI Group	New York Stock Exchange	CT:GIB-A	Toronto Stock Exchange	Information Technology	Information Technology Services	$18,379,284,844	154,033	Analyze
RCI	Rogers Communication	New York Stock Exchange	CT:RCI-B	Toronto Stock Exchange	Communication Services	Telecom Services	$18,192,197,423	288,208	Analyze
AEM	Agnico Eagle Mines Limited	New York Stock Exchange	CT:AEM	Toronto Stock Exchange	Materials	Gold	$16,867,145,345	1,183,393	Analyze
CGC	Canopy Growth Corporation	NASDAQ Global Select	CT:WEED	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$15,627,640,893	7,549,734	Analyze
PBA	Pembina Pipeline Corp.	New York Stock Exchange	CT:PPL	Toronto Stock Exchange	Energy	Oil & Gas Midstream	$14,551,462,806	1,267,211	Analyze
IMO	Imperial Oil Limited	NYSE American	CT:IMO	Toronto Stock Exchange	Energy	Oil & Gas Integrated	$13,888,732,205	450,404	Analyze
ABCL	AbCellera Biologics Inc.	NASDAQ Global Select			Health Care	Biotechnology	$12,752,403,003	1,134,553	Analyze
OTEX	Open Text Corporation	NASDAQ Global Select	CT:OTEX	Toronto Stock Exchange	Information technology	Software—Application	$12,738,062,568	492,208	Analyze
BEP	Brookfield Renewable Partners L.P.	New York Stock Exchange	CT:BEP.UN		Utilities	Utilities—Renewable	$12,623,304,288	595,580	Analyze
CVE	Cenovus Energy Inc	New York Stock Exchange	CT:CVE	Toronto Stock Exchange	Energy	Oil & Gas Integrated	$12,487,065,521	11,148,987	Analyze
BLDP	Ballard Power Systems	NASDAQ Global Market	CT:BLDP	Toronto Stock Exchange	Industrials	Specialty Industrial Machinery	$10,298,674,242	8,633,192	Analyze
KL	Kirkland Lake Gold Ltd.	New York Stock Exchange	CT:KL	Toronto Stock Exchange	Materials	Gold	$10,272,404,701	1,834,712	Analyze
AQN	Algonquin Power & Utilities Corp.	New York Stock Exchange	CT:AQN	Toronto Stock Exchange	Utilities	Utilities—Renewable	$10,169,331,990	810,206	Analyze
TECK	Teck Resources Ltd	New York Stock Exchange	CT:TECK-B	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$9,645,919,571	3,967,283	Analyze
BEPC	Brookfield Renewable Corporation Class A	New York Stock Exchange			Utilities	Utilities—Renewable	$9,635,216,135	574,358	Analyze
BHC	Bausch Health Companies Inc.	New York Stock Exchange	CT:BHC	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$9,585,739,089	4,575,001	Analyze
GFL	GFL Environmental Inc. Subordinate voting shares	New York Stock Exchange	CT:GFL	Toronto Stock Exchange	Industrials	Waste Management	$9,265,576,411	728,406	Analyze
KGC	Kinross Gold Corporation	New York Stock Exchange	CT:K	Toronto Stock Exchange	Materials	Gold	$8,845,992,841	17,750,629	Analyze
LSPD	Lightspeed POS Inc. Subordinate Voting Shares	New York Stock Exchange	CT:LSPD	Toronto Stock Exchange	Information Technology	Software—Infrastructure	$8,539,913,757	436,673	Analyze
SJR	Shaw Communications Inc. (Class B)	New York Stock Exchange	CT:SJR-B	Toronto Stock Exchange	Consumer Discretionary	Telecom Services	$8,534,896,790	930,703	Analyze
CURLF	Curaleaf Holdings Inc.	OTC markets	CF:CURA	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$8,370,610,270	305,473	Analyze
BPY	Brookfield Property Partners LP	NASDAQ Global Select	CT:BPY.UN	Toronto Stock Exchange	Financials	Real Estate Services	$8,150,010,503	5,906,372	Analyze
CAE	CAE Inc.	New York Stock Exchange	CT:CAE	Toronto Stock Exchange	Industrials	Aerospace & Defense	$6,930,332,477	385,488	Analyze
RBA	Ritchie Bros Auctioneers Inc	New York Stock Exchange	CT:RBA	Toronto Stock Exchange	Industrials	Specialty Business Services	$6,685,981,252	759,897	Analyze
TFII	TFI International Inc.	New York Stock Exchange	CT:TFII	Toronto Stock Exchange	Industrials	Trucking	$6,650,870,512	243,718	Analyze
PAAS	Pan American Silver Corp.	NASDAQ Global Select	CT:PAAS	Toronto Stock Exchange	Materials	Silver	$6,623,148,011	4,184,154	Analyze
BB	Blackberry Limited	New York Stock Exchange	CT:BB	Toronto Stock Exchange	Information Technology	Software—Infrastructure	$6,501,581,221	108,041,874	Analyze
IVPAF	Ivanhoe Mines Ltd. Class A	OTC markets	CT:IVN	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$6,053,588,472	40,331	Analyze
FSV	Firstservice Corporation	NASDAQ Global Select	CT:FSV	Toronto Stock Exchange	Real Estate	Real Estate Services	$5,925,928,183	38,481	Analyze
GTBIF	Green Thumb Industries Inc.	OTC markets	CF:GTII	Canadian Securities Exchange	Consumer Discretionary	Drug Manufacturers—Specialty & Generic	$5,674,013,125	204,109	Analyze
ACDVF	Air Canada	OTC markets	CT:AC	Toronto Stock Exchange	Industrials	Airlines	$5,570,394,552	195,346	Analyze
CCJ	Cameco Corporation	New York Stock Exchange	CT:CCO	Toronto Stock Exchange	Energy	Uranium	$5,416,911,669	5,953,913	Analyze
DSGX	The Descartes Systems Group Inc.	NASDAQ Global Select	CT:DSG	Toronto Stock Exchange	Information Technology	Software—Application	$5,326,401,400	130,740	Analyze
BTG	B2Gold Corp	NYSE American	CT:BTO	Toronto Stock Exchange	Materials	Gold	$5,213,645,348	8,604,680	Analyze
GIL	Gildan Activewear Inc. Class A	New York Stock Exchange	CT:GIL	Toronto Stock Exchange	Consumer Discretionary	Apparel Manufacturing	$5,041,601,124	434,705	Analyze
APHA	Aphria Inc.	NASDAQ Global Select	CT:APHA	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$4,668,829,717	21,835,731	Analyze
AUY	Yamana Gold Inc.	New York Stock Exchange	CT:YRI	Toronto Stock Exchange	Materials	Gold	$4,647,584,464	17,673,416	Analyze
STN	Stantec Inc	New York Stock Exchange	CT:STN	Toronto Stock Exchange	Industrials	Engineering & Construction	$4,325,878,373	83,969	Analyze
WFG	West Fraser Timber Co. Ltd	New York Stock Exchange			Materials	Lumber & Wood Production	$4,149,157,529	65,670	Analyze
CRON	Cronos Group Inc.	NASDAQ Global Market	CT:CRON	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$4,088,875,318	6,931,607	Analyze
SSRM	SSR Mining Inc.	NASDAQ Global Select	CT:SSRM	Toronto Stock Exchange	Materials	Gold	$3,735,515,886	1,798,625	Analyze
AG	First Majestic Silver Corp	New York Stock Exchange	CT:FR	Toronto Stock Exchange	Materials	Silver	$3,720,133,584	17,762,364	Analyze
CIGI	Colliers International Group Inc.	NASDAQ Global Select	CT:CIGI	Toronto Stock Exchange	Real Estate	Real Estate Services	$3,650,082,649	51,059	Analyze
MDRPF	Midas Gold Corp.	OTC markets	CV:MAX	TSX Venture Exchange	Materials	Gold	$3,598,595,146	676,260	Analyze
EDVMF	Endeavour Mining Corporation	OTC markets	CT:EDV	Toronto Stock Exchange	Materials	Gold	$3,472,676,875	39,608	Analyze
TLRY	Tilray, Inc. - Class 2	NASDAQ Global Select			Health Care	Drug Manufacturers—Specialty & Generic	$3,136,533,233	40,986,047	Analyze
NG	Novagold Resources Inc.	NYSE American	CT:NG	Toronto Stock Exchange	Materials	Gold	$3,124,353,447	1,369,890	Analyze
AGI	Alamos Gold Inc Class A	New York Stock Exchange	CT:AGI	Toronto Stock Exchange	Materials	Gold	$3,110,792,430	2,823,403	Analyze
DOOO	BRP Inc.	NASDAQ Global Select	CT:DOO	Toronto Stock Exchange	Consumer Discretionary	Recreational Vehicles	$3,077,060,407	97,069	Analyze
BIPC	Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares	New York Stock Exchange	CT:BIPC	Toronto Stock Exchange	Utilities	Asset Management	$2,942,661,387	187,395	Analyze
CIXX	CI Financial Corp.	New York Stock Exchange	CT:CIX	Toronto Stock Exchange	Financials	Asset Management	$2,800,186,192	47,828	Analyze
MAXR	Maxar Technologies Ltd.	New York Stock Exchange	CT:MAXR	Toronto Stock Exchange	Industrials	Communication Equipment	$2,692,784,317	1,940,613	Analyze
MEOH	Methanex Corporation	NASDAQ Global Select	CT:MX	Toronto Stock Exchange	Materials	Chemicals	$2,571,054,805	537,252	Analyze
ACB	Aurora Cannabis Inc.	New York Stock Exchange	CT:ACB	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$2,506,480,738	30,458,724	Analyze
TCNNF	Trulieve Cannabis Corp.	OTC markets	CT:TRUL	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$2,460,658,114	175,718	Analyze
TAC	TransAlta Corporation	New York Stock Exchange	CT:TA	Toronto Stock Exchange	Utilities	Utilities—Independent Power Producers	$2,440,310,011	281,248	Analyze
CRLBF	Cresco Labs Inc.	OTC markets	CF:CL	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$2,392,247,790	374,824	Analyze
TRQ	Turquoise Hill Resources Ltd	New York Stock Exchange	CT:TRQ	Toronto Stock Exchange	Materials	Copper	$2,362,456,988	1,082,093	Analyze
EQX	Equinox Gold Corp.	NYSE American	CT:EQX	Toronto Stock Exchange	Materials	Gold	$2,319,331,665	1,141,298	Analyze
LAC	Lithium Americas Corp.	New York Stock Exchange	CT:LAC	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$2,299,800,938	10,011,453	Analyze
GOOS	Canada Goose Holdings Inc. Subordinate Voting Shares	New York Stock Exchange	CT:GOOS	Toronto Stock Exchange	Consumer Discretionary	Apparel Manufacturing	$2,069,870,254	1,817,191	Analyze
AUPH	Aurinia Pharmaceuticals Inc	NASDAQ Global Market	CT:AUP	Toronto Stock Exchange	Health Care	Biotechnology	$2,035,202,006	6,927,519	Analyze
CCHWF	Columbia Care Inc.	OTC markets	CF:CCHW	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$1,993,932,686	29,350	Analyze
PVG	Pretium Resources Inc	New York Stock Exchange	CT:PVG	Toronto Stock Exchange	Materials	Gold	$1,983,036,612	1,631,816	Analyze
EGO	Eldorado Gold Corporation	New York Stock Exchange	CT:ELD	Toronto Stock Exchange	Materials	Gold	$1,981,972,547	2,827,234	Analyze
OR	Osisko Gold Royalties Ltd	New York Stock Exchange	CT:OR	Toronto Stock Exchange	Consumer Staples	Gold	$1,880,610,086	993,000	Analyze
MAG	Mag Silver Corporation	NYSE American	CT:MAG	Toronto Stock Exchange	Materials	Silver	$1,816,619,418	873,195	Analyze
ZYME	Zymeworks Inc.	New York Stock Exchange			Health Care	Biotechnology	$1,741,516,516	803,932	Analyze
DCBO	Docebo Inc.	NASDAQ Global Select			Information Technology	Software—Application	$1,706,955,648	93,292	Analyze
UFS	Domtar Corp	New York Stock Exchange	CT:UFS	Toronto Stock Exchange	Materials	Paper & Paper Products	$1,704,407,333	615,554	Analyze
TGCDF	Teranga Gold Corporation	OTC markets	CT:TGZ	Toronto Stock Exchange	Materials	Gold	$1,664,161,451	11,369	Analyze
IAG	Iamgold Corp	New York Stock Exchange	CT:IMG	Toronto Stock Exchange	Financials	Gold	$1,639,840,807	5,400,979	Analyze
CPG	Crescent Point Energy Corporation	New York Stock Exchange	CT:CPG	Toronto Stock Exchange	Energy	Oil & Gas E&P	$1,606,008,844	4,150,125	Analyze
HBM	Hudbay Minerals Inc	New York Stock Exchange	CT:HBM	Toronto Stock Exchange	Materials	Copper	$1,549,343,855	1,174,474	Analyze
KNTNF	K92 Mining Inc.	OTC markets	CV:KNT	TSX Venture Exchange	Materials	Gold	$1,522,278,914	282,879	Analyze
SA	Seabridge Gold	New York Stock Exchange	CT:SEA	Toronto Stock Exchange	Materials	Gold	$1,424,465,414	391,901	Analyze
FSM	Fortuna Silver Mines Inc	New York Stock Exchange	CT:FVI	Toronto Stock Exchange	Materials	Silver	$1,416,465,141	5,292,177	Analyze
STKL	Sunopta Inc	NASDAQ Global Select	CT:SOY	Toronto Stock Exchange	Consumer Staples	Packaged Foods	$1,415,485,055	1,196,631	Analyze
WPTIF	WPT Industrial Real Estate Investment Trust	OTC markets			Real Estate	REIT—Industrial	$1,310,598,561	5,031	Analyze
MMEDF	Mind Medicine (MindMed) Inc.	OTC markets			Health Care	Biotechnology	$1,310,226,717	1,681,083	Analyze
TRIL	Trillium Therapeutics Inc.	NASDAQ Capital Market	CT:TRIL	Toronto Stock Exchange	Health Care	Biotechnology	$1,296,865,067	1,358,655	Analyze
NGD	New Gold Inc.	NYSE American	CT:NGD	Toronto Stock Exchange	Materials	Gold	$1,285,672,118	8,556,448	Analyze
SILV	Silvercrest Metals Inc.	NYSE American	CT:SIL	Toronto Stock Exchange	Materials	Other Precious Metals & Mining	$1,271,310,273	1,241,019	Analyze
SAND	Sandstorm Gold Ltd	New York Stock Exchange	CT:SSL	Toronto Stock Exchange	Industrials	Gold	$1,253,525,820	1,824,079	Analyze
XEBEF	Xebec Adsorption Inc.	OTC markets	CV:XBC	TSX Venture Exchange	Industrials	Specialty Industrial Machinery	$1,211,492,362	14,639	Analyze
NXE	Nexgen Energy Ltd.	NYSE American	CT:NXE	Toronto Stock Exchange	Materials	Uranium	$1,200,837,553	1,293,026	Analyze
SVM	Silvercorp Metals Inc.	NYSE American	CT:SVM	Toronto Stock Exchange	Materials	Silver	$1,173,085,118	2,143,680	Analyze
SNDL	Sundial Growers Inc.	NASDAQ Capital Market			Health Care	Drug Manufacturers—Specialty & Generic	$1,154,130,670	549,806,898	Analyze
ARESF	Artis Real Estate Investment Trust	OTC markets	CT:AX-UN	Toronto Stock Exchange	Real Estate	REIT—Diversified	$1,125,616,943	1,400	Analyze
BDRBF	Bombardier Inc. Class B	OTC markets	CT:BBD-B	Toronto Stock Exchange	Industrials	Aerospace & Defense	$1,102,990,054	450,659	Analyze
VFF	Village Farms International, Inc.	NASDAQ Capital Market	CT:VFF	Toronto Stock Exchange	Consumer Staples	Farm Products	$1,072,846,941	3,814,633	Analyze
WPRT	Westport Fuel Systems Inc	NASDAQ Global Select	CT:WPRT	Toronto Stock Exchange	Consumer Discretionary	Auto Parts	$1,072,798,304	4,094,834	Analyze
JUSHF	Jushi Holdings Inc Class B	OTC markets	CF:JUSH	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$1,000,112,055	18,630	Analyze
TRSSF	TerrAscend Corp.	OTC markets	CF:TER	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$997,205,970	59,419	Analyze
ORLA	Orla Mining Ltd.	NYSE American	CT:OLA	Toronto Stock Exchange	Materials	Gold	$958,415,229	133,763	Analyze
CLS	Celestica	New York Stock Exchange	CT:CLS	Toronto Stock Exchange	Information Technology	Electronic Components	$924,472,552	307,703	Analyze
NUPMF	New Pacific Metals Corp	OTC markets	CV:NUAG	TSX Venture Exchange	Materials	Other Precious Metals & Mining	$889,963,648	109,988	Analyze
ACUIF	AcuityAds Holdings Inc	OTC markets	CT:AT	Toronto Stock Exchange	Communication Services	Internet Content & Information	$873,450,092	2,600	Analyze
HEXO	HEXO Corp.	New York Stock Exchange	CT:HEXO	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$869,798,331	10,494,012	Analyze
LGORF	Largo Resources Ltd.	OTC markets	CV:LGO	TSX Venture Exchange	Materials	Other Industrial Metals & Mining	$858,172,508	215,224	Analyze
SII	Sprott Inc.	New York Stock Exchange	CT:SII	Toronto Stock Exchange	Financials	Asset Management	$816,217,428	85,761	Analyze
EXK	Endeavour Silver Corporation	New York Stock Exchange	CT:EDR	Toronto Stock Exchange	Materials	Silver	$778,568,810	5,689,642	Analyze
ERF	Enerplus Corporation	New York Stock Exchange	CT:ERF	Toronto Stock Exchange	Energy	Oil & Gas E&P	$745,534,460	1,897,511	Analyze
HVBTF	HIVE Blockchain Technologies Ltd	OTC markets	CV:HIVE	TSX Venture Exchange	Information Technology	Capital Markets	$737,417,420	540,723	Analyze
VET	Vermilion Energy Inc.	New York Stock Exchange	CT:VET	Toronto Stock Exchange	Energy	Oil & Gas E&P	$733,304,145	2,747,807	Analyze
MMX	Maverix Metals Inc.	NYSE American	CT:MMX	Toronto Stock Exchange	Materials	Other Precious Metals & Mining	$717,279,146	196,896	Analyze
RFP	Resolute Forest Products Inc	New York Stock Exchange	CT:RFP	Toronto Stock Exchange	Materials	Paper & Paper Products	$716,681,495	386,908	Analyze
SWIR	Sierra Wireless Inc	NASDAQ Global Select	CT:SW	Toronto Stock Exchange	Information Technology	Communication Equipment	$694,670,758	548,966	Analyze
PLNHF	Planet 13 Holdings Inc.	OTC markets	CF:PLTH	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$683,537,773	603,399	Analyze
SGSVF	Sabina Gold & Silver Corp.	OTC markets	CT:SBB	Toronto Stock Exchange	Materials	Gold	$680,887,587	333,515	Analyze
CTSDF	Converge Technology Solutions Corp.	OTC markets	CT:CTS	Toronto Stock Exchange	Unknown	Information Technology Services	$665,874,508	1,199	Analyze
SOLO	Electrameccanica Vehicles Corp. Ltd.	NASDAQ Capital Market			Consumer Discretionary	Auto Manufacturers	$654,544,663	20,663,004	Analyze
AKU	Akumin Inc.	NASDAQ Capital Market	CT:AKU	Toronto Stock Exchange	Health Care	Diagnostics & Research	$651,255,812	127,437	Analyze
ABST	Absolute Software Corporation	NASDAQ Global Select	CT:ABT	Toronto Stock Exchange	Information Technology	Software—Application	$650,620,958	103,263	Analyze
GTBAF	Great Bear Resources Ltd. Class A	OTC markets	CV:GBR	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$633,836,442	116,397	Analyze
GP	GreenPower Motor Company Inc.	NASDAQ Capital Market	CV:GPV	TSX Venture Exchange	Consumer Discretionary	Auto Manufacturers	$626,674,842	688,979	Analyze
FFNTF	4Front Ventures Corp.	OTC markets	CF:FFNT	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$625,067,429	183,939	Analyze
PYRNF	PyroGenesis Canada Inc.	OTC markets	CV:PYR	TSX Venture Exchange	Industrials	Specialty Industrial Machinery	$590,940,897	129,772	Analyze
GLGDF	Gogold Resources Inc.	OTC markets	CT:GGD	Toronto Stock Exchange	Materials	Other Precious Metals & Mining	$559,652,463	75,896	Analyze
UUUU	Energy Fuels Inc	NYSE American	CT:EFR	Toronto Stock Exchange	Energy	Uranium	$556,134,285	4,383,640	Analyze
CNNEF	Canacol Energy Ltd.	OTC markets	CT:CNE	Toronto Stock Exchange	Energy	Oil & Gas E&P	$520,593,854	29,303	Analyze
PROF	Profound Medical Corp.	NASDAQ Capital Market	CT:PRN	Toronto Stock Exchange	Health Care	Medical Devices	$520,380,411	92,400	Analyze
SKREF	Skeena Resources Limited	OTC markets	CV:SKE	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$513,678,083	282,633	Analyze
ENGMF	Enthusiast Gaming Holdings Inc	OTC markets	CT:EGLX	Toronto Stock Exchange	Unknown	Electronic Gaming & Multimedia	$508,915,258	59,158	Analyze
DNN	Denison Mines Corp (Canada)	NYSE American	CT:DML	Toronto Stock Exchange	Materials	Uranium	$498,712,192	4,698,033	Analyze
CWBHF	Charlottes Web Holdings Inc.	OTC markets	CT:CWEB	Toronto Stock Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$479,629,862	553,624	Analyze
DSVMF	Discovery Metals Corp	OTC markets	CV:DSV	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$473,714,910	835,056	Analyze
ATUSF	Altius Minerals Corporation	OTC markets	CT:ALS	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$472,845,244	17,002	Analyze
HUTMF	Hut 8 Mining Corp.	OTC markets	CT:HUT	Toronto Stock Exchange	Unknown	Capital Markets	$464,882,534	125,013	Analyze
AYRSF	AYR Strategies Inc	OTC markets	CF:AYR	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$458,065,824	30,542	Analyze
CXBMF	Calibre Mining Corp.	OTC markets	CT:CXB	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$454,825,022	122,273	Analyze
OGI	Organigram Holdings Inc.	NASDAQ Global Select	CV:OGI	TSX Venture Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$452,612,529	16,297,601	Analyze
MGDPF	Marathon Gold Corporation	OTC markets	CV:MOZ	TSX Venture Exchange	Materials	Gold	$452,059,668	162,025	Analyze
NNXPF	NanoXplore Inc.	OTC markets	CV:GRA	TSX Venture Exchange	Unknown	Chemicals	$451,368,323	6,850	Analyze
HRVSF	Harvest Health & Recreation Inc.	OTC markets	CF:HARV	Canadian Securities Exchange	Unknown	Drug Manufacturers—Specialty & Generic	$434,954,156	181,971	Analyze
CSEAF	Clearwater Seafoods Inc	OTC markets	CT:CLR	Toronto Stock Exchange	Consumer Staples		$424,765,925	0	Analyze
ROGFF	Roxgold Inc.	OTC markets	CT:ROXG	Toronto Stock Exchange	Materials	Gold	$423,506,348	181,695	Analyze
GSS	Golden Star Resources	NYSE American	CT:GSC	Toronto Stock Exchange	Materials	Gold	$417,425,981	399,341	Analyze
NSRPF	Novo Resources Corp.	OTC markets	CV:NVO	TSX Venture Exchange	Materials	Gold	$412,332,778	164,955	Analyze
MTA	Metalla Royalty & Streaming Ltd.	NYSE American	CV:MTA	TSX Venture Exchange	Materials	Other Precious Metals & Mining	$406,530,451	427,987	Analyze
STLHF	Standard Lithium Ltd.	OTC markets	CV:SLL	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$404,266,400	45,548	Analyze
AXU	Alexco Resource Corp	NYSE American	CT:AXU	Toronto Stock Exchange	Materials	Other Precious Metals & Mining	$402,365,212	1,845,405	Analyze
NEXCF	NexTech AR Solutions Corp.	OTC markets			Unknown	Internet Retail	$394,915,082	1,250,585	Analyze
PLM	Polymet Mining Corporation	NYSE American	CT:POM	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$384,803,032	941,567	Analyze
TGB	Taseko Mines Limited	NYSE American	CT:TKO	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$363,927,608	2,565,596	Analyze
GLDLF	GoldMining Inc.	OTC markets	CV:GOLD	TSX Venture Exchange	Materials	Gold	$358,961,750	529,301	Analyze
USAS	Americas Silver Corporation	NYSE American	CT:USA	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$351,620,241	1,559,400	Analyze
NMGRF	Nouveau Monde Graphite Inc	OTC markets	CV:NOU	TSX Venture Exchange	Unknown	Other Industrial Metals & Mining	$351,613,504	46,841	Analyze
CORVF	Corvus Gold Inc.	OTC markets	CV:KOR	TSX Venture Exchange	Materials	Gold	$340,967,000	29,446	Analyze
LHSIF	Liberty Health Sciences Inc	OTC markets	CF:LHS	Canadian Securities Exchange	Health Care	Drug Manufacturers—Specialty & Generic	$338,548,073	1,065,566	Analyze
ABUS	Arbutus Biopharma Corporation	NASDAQ Global Select			Health Care	Biotechnology	$332,844,291	2,752,378	Analyze
POETF	POET Technologies Inc.	OTC markets	CV:PTK	TSX Venture Exchange	Information Technology	Semiconductors	$332,255,623	408,593	Analyze
BUROF	Burcon NutraScience Corporation	OTC markets	CT:BU	Toronto Stock Exchange	Materials	Biotechnology	$327,730,556	133,689	Analyze
NAK	Northern Dynasty Minerals Ltd.	NYSE American	CT:NDM	Toronto Stock Exchange	Materials	Other Industrial Metals & Mining	$315,608,911	54,528,814	Analyze
JE	Just Energy Group Inc.	New York Stock Exchange	CT:JE	Toronto Stock Exchange	Consumer Discretionary	Utilities—Diversified	$314,434,286	3,463,632	Analyze
